
**** SCALARS ****
run,repetition,Module,busy:timeavg,created:last,delaysVisited:max,delaysVisited:mean,dropped:count,generation:max,generation:mean,lifeTime:max,lifeTime:mean,queueingTime:max,queueingTime:mean,queueLength:max,queueLength:timeavg,queuesVisited:max,queuesVisited:mean,totalDelayTime:max,totalDelayTime:mean,totalQueueingTime:max,totalQueueingTime:mean,totalServiceTime:max,totalServiceTime:mean
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,52.51357686834,8.2189042017215,25,1.5503089500604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server,0.65206282276391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.sink,NaN,NaN,0,0,NaN,0,0,3814.3322020409,365.91285044086,NaN,NaN,NaN,NaN,10,3.2053,0,0,3794.6592892977,358.90656507023,53.216187419295,7.0062853706337
General-0-20201221-09:26:51-26448,0,SixFlags1.server4,0.99935065412311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server5,0.88817549601426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server6,0.89885560279577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server7,0.90298949086519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server8,0.9304568589597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue1,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,13.163649179585,2.0402706199968,8,0.24361844479573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue2,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,16.142934433853,1.9569136811968,9,0.23881045997212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue4,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,15.49964651811,1.9871093464658,9,0.22844288454132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server1,0.364415602701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server2,0.36129412894735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server3,0.35460336074777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue5,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,1999.1576731774,758.28957597353,406,151.62777555089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue6,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,360.81613152102,147.05721713307,75,25.519072892048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue7,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,479.33879352221,140.96800355563,91,25.235638814469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue8,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,641.96395113545,299.53787074027,121,52.726112129126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue9,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,889.76559677097,379.06352673538,167,68.030571714181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.source,NaN,20000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

**** VECTORS ****
queueLength:vector SixFlags1.passiveQueue (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue1 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue2 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue4 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue5 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue6 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue7 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue8 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue9 (#0 - General-0-20201221-09:26:51-26448),,lifeTime:vector SixFlags1.sink (#0 - General-0-20201221-09:26:51-26448),
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79956225078,3.997320750177999912
17.331713378676,1,9.099137325318,1,1.707990372194,1,13.926473948743,1,5.953156810493,1,32.326697118804,1,36.030771619104,1,16.285672893919,1,18.78641922071,1,6.799072162369,4.160472873651999125
18.06299417256,0,12.658323786711,2,2.638599288717,2,14.078003986719,0,6.799072162369,0,35.176994346378,0,40.709910353689,0,18.884858102807,2,20.21046692494,2,6.971621332606,5.263630960411999715
28.532188466782,1,13.560962867794,1,3.033766555092,1,29.887187701112,1,14.10076626976,1,42.018440738538,1,43.938187338817,1,21.002236996552,1,20.265000487551,1,7.25487729299,1.390142909054999703
29.096149358508,0,13.808406806231,0,3.724389591352,0,30.222257224003,2,16.036858040103,0,43.857601733671,2,45.619077371091,2,22.403622038947,0,20.560963564861,2,7.703444444431,4.080022677908999617
31.600926938961,1,17.19258046074,1,9.745980171378,1,30.553345330675,3,25.43822025347,1,44.441460966058,3,46.467124464757,3,25.891587393916,1,22.940323872967,1,10.920087660026,2.436313157554999427
32.851664504692,0,18.06299417256,2,10.290715612836,0,31.473199594143,2,33.82055966935,0,45.994185333859,2,51.308139763095,4,27.2879424093,0,23.805961153698,0,12.427490745388,2.681510574009999802
37.078847571899,1,18.192068929839,1,17.713707038673,1,32.326697118804,1,35.983702676262,1,46.755653460131,1,51.357407334029,3,35.375062528354,1,25.316978523099,1,15.028649259914,5.929511934596000315
44.30388168014,2,18.884858102807,0,20.21046692494,0,33.068590710541,2,37.342863646629,2,48.263483026248,0,52.968829029264,4,35.771425637714,0,31.339137820061,0,16.036858040103,2.60153291765699989
44.923636004045,1,20.174063656379,1,23.93497182476,1,34.106393954794,3,38.053301733926,1,63.051699233849,1,60.055991368509,5,42.698830926043,1,40.288960066545,1,20.265000487551,7.60667670083999955
47.571159467498,0,23.947799441751,2,24.721465072928,0,34.258331270732,4,40.973797746946,2,63.257766054563,0,61.421271015058,4,44.734132755447,0,41.355340432597,0,21.002236996552,12.05554037172800001
48.761294568407,1,25.316978523099,1,50.023922953518,1,35.375062528354,3,42.299405791748,1,74.525826141194,1,63.83317611215,5,45.404523348968,1,106.505078615038,1,21.531420377858,10.1585261149879997
49.496351616364,0,25.43822025347,0,50.744220272791,2,35.983702676262,2,45.77840309625,0,74.606966133484,0,64.273365785153,6,46.58990920258,2,112.025786190224,0,22.403622038947,7.257342645223999935
50.710163192955,1,29.096149358508,1,51.308139763095,1,36.418538625617,3,49.25980679125,1,76.325320080032,1,70.300571563882,7,49.004531433662,1,120.620174413276,1,22.940323872967,4.283066782043999132
51.865340929901,0,29.937058004971,0,51.370434825715,0,36.720321546912,4,54.126766496982,2,78.256593931644,2,71.150678083966,8,49.031582861903,2,123.689089162495,2,23.221423955672,9.04236892313599934
57.675106728331,1,38.516555070179,1,51.865340929901,1,37.342863646629,3,54.771538603321,3,78.58722745609,3,72.064621487715,7,49.472597481424,3,125.384180786566,1,23.805961153698,8.057153714542000215
58.765673424517,0,39.543363070038,2,52.02147113499,2,39.036092937782,2,55.050134851569,4,80.701962859391,2,72.898994693879,6,51.370434825715,4,128.142698849518,0,27.2879424093,10.09536194856000075
60.445463138172,1,40.36777524964,1,53.86867566091,3,42.698830926043,1,57.121573059712,3,81.82003990653,3,74.52507478376,5,52.171844522275,3,133.974283278136,1,27.574577041419,4.011385889788998662
61.855807010305,2,40.973797746946,0,55.484826134872,4,43.430469234973,2,64.126565338602,4,85.116365584177,2,75.486381987971,4,57.659385007521,4,136.494891451381,0,31.339137820061,13.62543078138799751
62.959109115639,1,42.924139950326,1,55.822387536,3,43.938187338817,1,64.450481024622,5,88.445578017362,1,75.936048991198,5,58.718336342389,3,156.816824830107,1,33.82055966935,10.67316975748200031
63.021579998921,0,43.32257750957,0,57.659385007521,2,44.157143109865,2,67.034982379126,6,93.41115190858,2,76.268760839893,4,59.912100706628,2,158.259893643758,2,35.176994346378,8.218107493639998005
73.223407515896,1,43.811802688169,1,58.573616333856,3,44.923636004045,3,67.204953026027,7,97.896086507843,1,83.140475911995,3,62.92049563925,1,159.123660311946,3,35.738360739843,18.40664736116699621
75.224862798424,0,44.441460966058,0,58.765673424517,4,46.467124464757,2,69.507967868183,8,100.121833204875,0,93.694919783909,2,63.91033431592,0,161.299189914021,2,35.771425637714,11.82362619596299775
79.681409669726,1,57.087809766016,1,59.388060227683,5,46.58990920258,1,70.728314339277,7,105.109684374011,1,98.795855223683,1,64.655898068088,1,164.941598817874,3,35.794958340176,5.572701116172998655
79.711603248446,0,57.361651180921,2,60.055991368509,4,49.25980679125,0,71.927931936458,6,107.131046678931,0,100.821769635395,0,66.154941171324,2,168.213169209854,4,36.885265181509,6.998077480396998925
81.433586746564,1,58.476878484824,1,62.959109115639,5,50.816469060178,1,72.562629858818,7,108.184936718758,1,115.421889152309,1,66.954498884606,1,169.468893820147,5,38.053301733926,2.52495718260400003
82.750829431842,0,59.394669957299,2,63.057199978789,6,51.802873811993,0,72.847867548612,8,109.447996816631,0,117.830738180963,2,71.912020349092,0,170.392015994665,6,40.709910353689,13.11362821178400035
85.257962719916,1,62.482399685449,1,63.666617846871,7,82.750829431842,1,73.090557028382,7,112.836027076639,1,118.32425939969,1,74.787787066899,1,172.586573867803,5,41.355340432597,24.40085633158799525
86.26139007243,2,63.051699233849,0,64.273365785153,6,82.838423976601,0,77.292523816443,8,113.836599476851,2,118.872302159385,2,78.128774238835,0,173.733027219685,6,42.299405791748,13.76721732496599765
89.046691641386,3,63.195624176605,1,64.450481024622,5,97.176172207066,1,81.330937894187,7,114.818693529956,1,120.309664149792,1,91.090532788188,1,173.88058229995,7,43.234034644631,3.093306554920999915
89.264516627713,4,63.83317611215,0,66.154941171324,4,97.287943546692,2,82.838423976601,8,119.71926570576,2,121.286485240429,2,96.390131264201,2,181.628448935466,8,44.734132755447,10.62773880065299888
